,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
73,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,NLMK,shares,stock,TQBR
74,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,NLMK,shares,stock,TQBR
75,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
76,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
77,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
78,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
79,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
80,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
81,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
82,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
83,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
84,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Новолипецкий металлургический комбинат""",1-01-00102-A,Акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,NLMK,shares,stock,TQBR
