,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
36,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""",1-01-55194-E,Акции обыкновенные,поддержание цены,2016-02-01 00:00:00,2016-02-01 19:30:00,2019-02-01 00:00:00,T+,,,,,TRCN,shares,stock,TQBR
37,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""",1-01-55194-E,Акции обыкновенные,поддержание цены,2016-12-09 00:00:00,2016-12-12 19:30:00,2019-01-31 00:00:00,T+,,,,,TRCN,shares,stock,TQBR
38,"Общество с ограниченной ответственностью ""АТОН""","Публичное акционерное общество Страховая Компания ""Росгосстрах""",1-03-10003-Z,акции обыкновенные,поддержание цены,2016-03-23 00:00:00,2016-03-23 19:30:00,23.03.2017 с пролонгацией,T+,2016-04-20 00:00:00,2016-04-20 19:30:00,,,RGSS,shares,stock,TQBR
39,Публичное акционерное общество РОСБАНК,"Акционерное общество ""Коммерческий банк ДельтаКредит""",41703338B,Жилищные облигации с ипотечным покрытием процентные документарные неконвертируемые серии 17-ИП на предъявителя с обязательным централизованным хранением,поддержание цены,2016-03-29 00:00:00,2016-03-29 19:30:00,31.12.2016 с пролонгацией,Режим основных торгов,,,,,RU000A0JWBN0,bonds,stock,EQOB
40,Акционерное общество ВТБ Капитал,"Публичное акционерное общество ""Селигдар""",1-01-32694-F,Акции обыкновенные,поддержание цены,2016-03-31 00:00:00,2016-03-31 19:30:00,31.03.2017 с пролонгацией,T+,,,,,SELG,shares,stock,TQBR
41,"Общество с ограниченной ответственностью ""Инвестиционная компания ""Гелиус Капитал""","Публичное акционерное общество ""Селигдар""",1-01-32694-F,Акции обыкновенные,поддержание цены,2017-03-16 00:00:00,2017-03-16 19:30:00,31.12.2017 с пролонгацией,T+,,,,,SELG,shares,stock,TQBR
42,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""","Общество с ограниченной ответственностью ""Концерн ""РОССИУМ""",4B02-01-36479-R,Документарные процентные неконвертируемые биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-01,поддержание цены,2016-04-12 00:00:00,2016-04-12 19:30:00,11.04.2017 с пролонгацией,Режим основных торгов,,,,,RU000A0JVZA8,bonds,stock,EQOB
43,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""","Общество с ограниченной ответственностью ""Концерн ""РОССИУМ""",4-01-36479-R,документарные процентные неконвертируемые облигации серии 01 на предъявителя с обязательным централизованным хранением,поддержание цены,2016-04-12 00:00:00,2016-04-12 19:30:00,11.04.2017 с пролонгацией,Режим основных торгов,,,,,RU000A0JVT43,bonds,stock,EQOB
44,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""","Общество с ограниченной ответственностью ""Агронова-Л""",4-01-36490-R,облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 01,поддержание цены,2016-04-12 00:00:00,2016-04-12 19:30:00,11.04.2017 с пролонгацией,Режим основных торгов,,,,,RU000A0JW118,bonds,stock,EQOB
45,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Мобильные ТелеСистемы""",1-01-04715-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,MTSS,shares,stock,TQBR
